iter	Passed	Remaining
587	4495	3149
588	4502	3141
589	4509	3133
590	4515	3124
591	4521	3116
592	4528	3108
593	4535	3100
594	4544	3093
595	4551	3084
596	4557	3076
597	4563	3067
598	4569	3059
599	4576	3051
600	4583	3043
601	4590	3034
602	4598	3027
603	4604	3018
604	4611	3010
605	4619	3003
606	4625	2994
607	4633	2987
608	4640	2979
609	4648	2971
610	4658	2965
611	4665	2957
612	4672	2950
613	4681	2943
614	4689	2935
615	4697	2928
616	4706	2921
617	4712	2912
618	4719	2904
619	4725	2896
620	4732	2888
621	4740	2880
622	4747	2872
623	4754	2864
624	4760	2856
625	4768	2848
626	4776	2841
627	4784	2834
628	4790	2825
629	4796	2816
630	4803	2809
631	4812	2802
632	4820	2795
633	4828	2787
634	4835	2779
635	4842	2771
636	4849	2763
637	4858	2756
638	4865	2748
639	4871	2740
640	4877	2731
641	4884	2723
642	4891	2715
643	4900	2708
644	4907	2701
645	4915	2693
646	4923	2686
647	4931	2679
648	4939	2671
649	4946	2663
650	4953	2655
651	4959	2646
652	4964	2638
653	4971	2630
654	4980	2623
655	4988	2615
656	4995	2607
657	5001	2599
658	5008	2591
659	5016	2584
660	5023	2576
661	5032	2569
662	5039	2561
663	5047	2554
664	5056	2547
665	5063	2539
666	5070	2531
667	5077	2523
668	5084	2515
669	5091	2507
670	5098	2500
671	5105	2491
672	5111	2483
673	5120	2476
674	5125	2468
675	5134	2460
676	5142	2453
677	5150	2445
678	5157	2438
679	5163	2429
680	5172	2422
681	5180	2415
682	5187	2407
683	5195	2400
684	5202	2392
685	5209	2384
686	5216	2376
687	5222	2368
688	5228	2359
689	5234	2351
690	5242	2344
691	5248	2335
692	5256	2328
693	5264	2321
694	5272	2313
695	5280	2306
696	5287	2298
697	5294	2290
698	5301	2283
699	5308	2275
700	5317	2267
701	5325	2260
702	5333	2253
703	5339	2245
704	5346	2237
705	5355	2230
706	5362	2222
707	5370	2214
708	5378	2207
709	5386	2199
710	5392	2191
711	5399	2183
712	5405	2175
713	5412	2168
714	5420	2160
715	5426	2152
716	5433	2144
717	5441	2137
718	5449	2129
719	5458	2122
720	5465	2114
721	5471	2106
722	5477	2098
723	5485	2091
724	5491	2083
725	5500	2075
726	5509	2068
727	5516	2061
728	5523	2053
729	5530	2045
730	5537	2037
731	5546	2030
732	5553	2022
733	5561	2015
734	5567	2007
735	5574	1999
736	5582	1992
737	5588	1983
738	5596	1976
739	5603	1968
740	5609	1960
741	5615	1952
742	5622	1944
743	5629	1937
744	5636	1929
745	5644	1921
746	5651	1914
747	5659	1906
748	5666	1898
749	5672	1890
750	5679	1883
751	5685	1875
752	5693	1867
753	5700	1859
754	5708	1852
755	5716	1844
756	5724	1837
757	5731	1829
758	5741	1822
759	5747	1815
760	5755	1807
761	5762	1799
762	5767	1791
763	5774	1783
764	5781	1775
765	5787	1767
766	5793	1759
767	5800	1752
768	5807	1744
769	5815	1737
770	5822	1729
771	5830	1721
772	5839	1714
773	5847	1707
774	5854	1699
775	5861	1692
776	5868	1684
777	5876	1676
778	5882	1668
779	5892	1662
780	5900	1654
781	5907	1646
782	5916	1639
783	5924	1632
784	5931	1624
785	5939	1617
786	5946	1609
787	5952	1601
788	5960	1594
789	5968	1586
790	5975	1578
791	5983	1571
792	5990	1563
793	6000	1556
794	6006	1548
795	6014	1541
796	6021	1533
797	6028	1525
798	6037	1518
799	6043	1510
800	6051	1503
801	6058	1495
802	6065	1487
803	6072	1480
804	6081	1473
805	6090	1465
806	6101	1459
807	6108	1451
808	6116	1443
809	6122	1436
810	6129	1428
811	6137	1421
812	6145	1413
813	6153	1406
814	6159	1398
815	6165	1390
816	6171	1382
817	6180	1375
818	6187	1367
819	6193	1359
820	6200	1351
821	6206	1344
822	6214	1336
823	6220	1328
824	6227	1321
825	6235	1313
826	6242	1305
827	6249	1298
828	6256	1290
829	6263	1282
830	6270	1275
831	6276	1267
832	6282	1259
833	6288	1251
834	6295	1244
835	6302	1236
836	6309	1228
837	6315	1220
838	6322	1213
839	6328	1205
840	6335	1197
841	6342	1190
842	6350	1182
843	6358	1175
844	6364	1167
845	6371	1159
846	6378	1152
847	6386	1144
848	6393	1137
849	6399	1129
850	6408	1121
851	6414	1114
852	6422	1106
853	6429	1099
854	6437	1091
855	6444	1084
856	6452	1076
857	6459	1069
858	6467	1061
859	6473	1053
860	6480	1046
861	6486	1038
862	6493	1030
863	6500	1023
864	6508	1015
865	6517	1008
866	6525	1000
867	6533	993
868	6541	986
869	6546	978
870	6553	970
871	6560	963
872	6567	955
873	6575	947
874	6582	940
875	6589	932
876	6597	925
877	6604	917
878	6612	910
879	6619	902
880	6629	895
881	6643	888
882	6651	881
883	6657	873
884	6666	866
885	6674	858
886	6681	851
887	6689	843
888	6696	836
889	6702	828
890	6708	820
891	6716	813
892	6723	805
893	6730	798
894	6738	790
895	6744	782
896	6752	775
897	6760	767
898	6767	760
899	6774	752
900	6782	745
901	6790	737
902	6798	730
903	6805	722
904	6812	715
905	6820	707
906	6829	700
907	6837	692
908	6844	685
909	6852	677
910	6859	670
911	6866	662
912	6874	655
913	6879	647
914	6886	639
915	6892	632
916	6900	624
917	6907	617
918	6913	609
919	6921	601
920	6928	594
921	6937	586
922	6943	579
923	6950	571
924	6957	564
925	6965	556
926	6972	549
927	6980	541
928	6986	533
929	6994	526
930	7005	519
931	7010	511
932	7017	503
933	7023	496
934	7030	488
